# time identity distance inter intra
4025 1 127.996695 122.095561 9.866035
4026 1 119.417998 143.053645 16.062658
4027 1 119.559159 149.028703 25.699241
4028 1 122.207993 159.484808 22.343356
4029 1 122.782951 143.191903 22.137452
4030 1 130.141619 110.882512 25.222244
4031 1 133.946723 102.861281 27.228749
4032 1 136.853985 119.783319 24.898422
4033 1 137.664693 113.572522 25.276759
4034 1 135.849847 115.669887 30.083103
4035 1 137.671570 78.876546 34.615664
4036 1 142.445831 84.334898 38.633698
4037 1 142.938976 85.956519 32.005091
4038 1 142.197743 85.797491 29.024532
4039 1 142.020377 91.136603 33.617023
4040 1 142.589301 100.358122 24.223311
4041 1 147.511519 88.741860 22.037442
4042 1 152.825614 71.181177 19.068583
4043 1 150.524948 87.287166 13.892402
4044 1 147.901220 79.226249 17.481551
4045 1 162.760361 52.151202 15.130888
4046 1 158.682972 47.150558 18.131236
4047 1 162.660066 43.133988 15.929421
4048 1 161.953066 55.130122 18.593057
4049 1 155.894455 68.523522 17.327442
4050 1 161.202672 61.469923 21.990947
4051 1 158.818633 74.995475 20.500559
4052 1 158.746510 87.663530 24.214165
4053 1 173.813247 45.049779 22.686651
4054 1 161.545274 62.589904 25.614895
4055 1 154.054560 83.923799 17.504201
4056 1 153.194515 97.301574 22.911697
4057 1 160.363806 76.425763 22.304725
4058 1 161.303877 67.587038 21.412399
4059 1 175.783460 46.865402 24.624299
4060 1 179.772891 38.565499 20.818385
4061 1 178.508779 31.746740 19.679397
4062 1 178.557399 36.612550 35.033436
4063 1 175.666067 38.384957 29.315684
4064 1 178.996948 27.313660 27.039833
4065 1 175.129057 34.997897 22.125527
4066 1 180.882462 23.517388 22.383284
4067 1 187.772269 14.887126 29.448567
4068 1 190.946904 11.267636 32.537481
4069 1 197.555922 19.073908 38.821890
4070 1 187.628862 21.929504 25.678235
4071 1 192.553174 20.498485 20.126716
4072 1 198.516654 20.652480 26.930301
4073 1 196.433356 11.538062 32.182653
4074 0 211.376011 8.531193 32.892915
4075 0 215.485632 7.878309 25.226430
4076 0 208.045691 6.094344 28.335008
4077 0 203.676082 8.790300 32.043700
4078 1 188.861786 21.809493 21.262829
4079 1 188.129461 29.640878 24.062446
4080 1 182.954202 19.739404 17.456094
4081 1 176.361999 30.953493 16.607027
4082 1 168.298103 35.763228 24.076173
4083 1 163.874065 36.428163 20.064302
4084 1 167.361819 19.664983 16.372468
4085 1 154.702759 60.132174 16.557244
4086 1 160.129898 60.669359 27.837412
4087 1 162.388860 56.273273 18.321458
4088 1 159.785451 61.648241 21.624726
4089 1 159.026574 58.382582 28.474671
4090 1 164.151658 45.298811 32.485612
4091 1 166.359346 52.427378 24.992963
4092 1 168.611704 47.054826 26.886477
4093 1 159.399185 68.649716 17.669356
4094 1 160.301772 70.502136 25.188324
4095 1 182.000356 46.289280 21.077329
4096 1 169.966554 74.009059 19.824542
4097 1 183.158427 44.035807 22.964488
4098 1 184.441231 33.427687 27.783003
4099 1 187.906205 33.535298 23.845607
4100 1 197.066444 37.637251 27.601511
4101 0 208.724674 21.137338 30.057359
4102 0 206.682297 15.101588 28.676753
4103 0 203.160594 24.971996 32.875676
4104 0 206.905053 25.370040 30.432706
4105 0 200.950535 43.087939 30.104755
4106 1 198.677862 28.556993 29.321186
4107 1 190.225379 48.743256 30.911814
4108 0 201.437922 36.222551 30.102272
4109 0 201.690063 47.195753 25.377955
4110 1 192.995161 53.783707 30.588401
4111 1 192.903601 58.277757 25.634076
4112 1 187.868090 64.103513 25.079710
4113 1 185.561223 60.829418 23.879230
